Tätort,Kommun,Folkmängd(31 dec 2020),Landareal(hektar),Täthet(inv./km²),Tätorts-kod
Markaryd,Markaryds kommun,5 123,697,735,T1940
Marma,Älvkarleby kommun,337,51,661,T0600
Marmaskogen,Söderhamns kommun,1 214,192,632,T7212
Marmaverken,Söderhamns kommun,344,75,459,T7208
Marmorbyn,Vingåkers kommun,388,55,706,T0802
Marstrand,Kungälvs kommun,379,33,1 149,T4504
Matfors,Sundsvalls kommun,3 405,471,723,T7580
Medle,Skellefteå kommun,557,157,355,T8248
Medåker,Arboga kommun,205,51,402,T6272
Mehedeby,Tierps kommun,407,64,636,T0604
Mellansel,Örnsköldsviks kommun,749,191,392,T7584
Mellbystrand,Laholms kommun,4 193,847,495,T4044
Mellerud,Melleruds kommun,3 991,321,1 243,T4952
Mellösa,Flens kommun,544,100,544,T0804
Merlänna,Strängnäs kommun,393,52,756,T0806
Mjällby,Sölvesborgs kommun,1 365,227,601,T2696
Mjällom,Kramfors kommun,202,109,185,T7588
Mjöbäck,Svenljunga kommun,298,77,387,T4956
Mjöhult,Höganäs kommun,305,43,709,T3612
Mjölby,Mjölby kommun,13 947,885,1 576,T1180
Mjönäs,Hagfors kommun,247,121,204,T5752
Mockfjärd,Gagnefs kommun,2 031,388,524,T6644
Mogata,Söderköpings kommun,287,45,638,T1184
Mohed,Söderhamns kommun,509,185,275,T7214
Moheda,Alvesta kommun,1 854,255,727,T1944
Moholm,Töreboda kommun,576,102,565,T5376
Moliden,Örnsköldsviks kommun,288,66,436,T7592
Molkom,Karlstads kommun,1 884,252,748,T5756
Mollösund,Orusts kommun,208,122,171,T4508
Mora,Mora kommun,12 826,1 719,746,T6648
Morgongåva,Heby kommun,1 464,149,983,T6276
Morup,Falkenbergs kommun,331,87,381,T4052
Motala,Motala kommun,31 340,2 028,1 545,T1188
Mullhyttan,Lekebergs kommun,542,141,384,T6056
Mullsjö,Mullsjö kommun,5 749,540,1 065,T5380
Munga,Västerås kommun,313,100,313,T6278
Munka-Ljungby,Ängelholms kommun,3 427,302,1 135,T3012
Munkedal,Munkedals kommun,4 201,565,744,T4512
Munkfors,Munkfors kommun,2 900,609,476,T5760
Munktorp,Köpings kommun,434,52,835,T6280
Muskö,Haninge kommun,258,68,379,T0238
Myckle,Skellefteå kommun,436,109,400,T8252
Myresjö,Vetlanda kommun,724,115,630,T1600
Myrviken,Bergs kommun,291,92,316,T7912
Målerås,Nybro kommun,180,78,231,T2332
Målilla,Hultsfreds kommun,1 429,323,442,T2336
Målsta,Östersunds kommun,358,122,293,T7914
Månkarbo,Tierps kommun,645,102,632,T0608
Måttsund,Luleå kommun,642,155,414,T8752
Märsta,Sigtuna kommun,29 781,670,4 445,T0240
Märsön,Enköpings kommun,228,180,127,T0692
Möklinta,Sala kommun,310,87,356,T6284
Mölle,Höganäs kommun,575,86,669,T3616
Mölltorp,Karlsborgs kommun,1 084,148,732,T5384
Mölnbo,Södertälje kommun,1 131,150,754,T0244
Mölnlycke,Härryda kommun,18 392,1 159,1 587,T4520
Mönsterås,Mönsterås kommun,5 165,500,1 033,T2340
Mörarp,Helsingborgs kommun,1 946,127,1 532,T3620
Mörbylånga,Mörbylånga kommun,1 802,232,777,T2344
Mörlunda,Hultsfreds kommun,828,233,355,T2348
Mörrum,Karlshamns kommun,4 003,464,863,T2700
Mörsil,Åre kommun,851,133,640,T7916
Naglarby,Säters kommun,355,81,438,T6494
Nedansjö,Sundsvalls kommun,266,87,306,T7596
Nedre Gärdsjö,Rättviks kommun,372,192,194,T6660
Nibble,Södertälje kommun,249,48,519,T0344
Nikkala,Haparanda kommun,403,116,347,T8768
Nissafors,Gnosjö kommun,301,50,602,T1604
Nitta,Ulricehamns kommun,361,51,708,T4968
Nittorp,Tranemo kommun,198,35,566,T4970
Njurundabommen,Sundsvalls kommun,2 793,335,834,T7600
Njutånger,Hudiksvalls kommun,828,167,496,T7216
Nolsjö,Österåkers kommun,560,279,201,T0334
Nolvik,Göteborgs kommun,1 489,187,796,T4522
Nora,Nora kommun,6 653,605,1 100,T6060
Norberg,Norbergs kommun,4 487,677,663,T6292
Nordanå,Staffanstorps kommun,282,40,705,T3840
Nordanö,Avesta kommun,454,47,966,T6664
Nordingrå,Kramfors kommun,250,64,391,T7604
Nordkroken,Vänersborgs kommun,450,72,625,T4974
Nordmaling,Nordmalings kommun,2 656,298,891,T8256
Nordvära och Källstorp,Varbergs kommun,265,120,221,T4024
Nordöstra Göteborg,Göteborgs kommun,47 211,1 085,4 351,T4364
Norje,Sölvesborgs kommun,827,291,284,T2708
Norr Amsberg,Borlänge kommun,237,69,344,T6666
Norra Bro,Örebro kommun,941,148,636,T6064
Norra Ingaröstrand,Värmdö kommun,877,456,192,T0198
Norra Lagnö,Värmdö kommun,377,94,401,T0250
Norra Muskö,Haninge kommun,229,466,49,T0258
Norra Riksten,Botkyrka kommun,2 870,60,4 783,T0282
Norra Rörum,Höörs kommun,230,47,489,T3622
Norra Vindö,Värmdö kommun,263,496,53,T0440
Norra Visby,Region Gotland,670,151,444,T2506
Norraby,Tranås kommun,246,34,724,T1758
Norrbo och Västansjö,Ludvika kommun,265,185,143,T6842
Norrfjärden,Piteå kommun,1 591,250,636,T8776
Norr-Hede,Härjedalens kommun,225,82,274,T7920
Norrhult-Klavreström,Uppvidinge kommun,1 215,279,436,T1948
Norrköping,Norrköpings kommun,97 854,3 689,2 653,T1192
Norrmjöle,Umeå kommun,219,152,144,T8260
Norrsundet,Gävle kommun,1 003,256,392,T7228
Norrtälje,Norrtälje kommun,21 917,1 036,2 116,T0252
Norsholm,Norrköpings kommun,556,56,993,T1196
Norsjö,Norsjö kommun,2 024,252,803,T8268
Nossebro,Essunga kommun,1 941,187,1 038,T5388
Nusnäs,Mora kommun,778,305,255,T6672
Nya Långenäs,Härryda kommun,342,33,1 036,T4526
Nyborg,Kalix kommun,795,189,421,T8928
Nybro,Nybro kommun,13 583,1 089,1 247,T2352
Nybrostrand,Ystads kommun,1 311,141,930,T3632
Nye,Vetlanda kommun,193,57,339,T1606
Nyehusen,Kristianstads kommun,310,265,117,T3018
Nygård,Lilla Edets kommun,472,100,472,T4978
Nygårds hagar,Nykvarns kommun,232,23,1 009,T0262
Nyhagen och Översättra,Österåkers kommun,671,76,883,T0306
Nyhammar,Ludvika kommun,987,245,403,T6676
Nykil,Linköpings kommun,396,50,792,T1200
Nykroppa,Filipstads kommun,721,188,384,T5772
Nykvarn,Nykvarns kommun,7 819,572,1 367,T0260
Nykyrka,Motala kommun,398,56,711,T1204
Nyköping,Nyköpings kommun,33 916,1 514,2 240,T0812
Nyland,Kramfors kommun,826,183,451,T7616
Nymölla,Bromölla kommun,273,137,199,T3020
Nynäshamn,Nynäshamns kommun,15 108,723,2 090,T0264
Nysättra,Norrtälje kommun,268,139,193,T0346
Nälden,Krokoms kommun,995,130,765,T7932
Näs,Hallstahammars kommun,1 035,127,815,T6225
Näsbyn,Hudiksvalls kommun,215,97,222,T7392
Nässjö,Nässjö kommun,18 472,1 150,1 606,T1608
Näsum,Bromölla kommun,1 339,266,503,T3024
Näsviken,Hudiksvalls kommun,967,183,528,T7232
Näsviken,Strömsunds kommun,218,82,266,T7934
Näsåker,Sollefteå kommun,509,138,369,T7620
Nättraby,Karlskrona kommun,3 298,343,962,T2712
Nävekvarn,Nyköpings kommun,779,114,683,T0816
Nävragöl,Karlskrona kommun,222,43,516,T2716
Nöbbele,Växjö kommun,245,53,462,T1952
Nödinge-Nol,Ale kommun,11 476,863,1 330,T4976
Obbola,Umeå kommun,2 186,230,950,T8280
Ockelbo,Ockelbo kommun,2 984,461,647,T7236
Odensbacken,Örebro kommun,1 323,158,837,T6076
Odensberg,Falköpings kommun,291,44,661,T5392
Oknö,Mönsterås kommun,377,143,264,T2354
Oleby,Torsby kommun,353,125,282,T5780
Olofsbo,Falkenbergs kommun,234,144,163,T4232
Olofstorp,Göteborgs kommun,4 142,332,1 248,T4528
Olofström,Olofströms kommun,7 769,675,1 151,T2720
Olsfors,Bollebygds kommun,612,71,862,T4984
Olshammar,Askersunds kommun,238,85,280,T6080
Onsala,Kungsbacka kommun,12 415,1 345,923,T4054
Onslunda,Tomelilla kommun,509,58,878,T3028
Ormaryd,Nässjö kommun,213,63,338,T1614
Ornäs,Borlänge kommun,1 082,123,880,T6692
Orrefors,Nybro kommun,758,129,588,T2356
Orrhammar,Flens kommun,248,110,226,T0822
Orrviken,Östersunds kommun,307,66,465,T7938
Orsa,Orsa kommun,5 793,1 655,350,T6696
Osby,Osby kommun,7 766,939,827,T3032
Osbyholm,Hörby kommun,307,44,698,T3636
Oskar-Fredriksborg,Vaxholms kommun,1 390,182,764,T0268
Oskarshamn,Oskarshamns kommun,18 907,1 485,1 273,T2360
Oskarström,Halmstads kommun,4 157,343,1 212,T4056
Ostvik,Skellefteå kommun,543,140,388,T8284
Otterbäcken,Gullspångs kommun,614,118,520,T5396
Oxelösund,Oxelösunds kommun,11 396,1 128,1 010,T0820
Oxhalsö,Norrtälje kommun,224,350,64,T0464
Oxie,Malmö kommun,13 562,560,2 422,T3640
Oxnö och Svärdsö,Nynäshamns kommun,336,385,87,T0386
Pajala,Pajala kommun,2 013,309,652,T8780
Parksidan,Ekerö kommun,961,57,1 686,T0182
Pauliström,Vetlanda kommun,218,60,363,T1620
Persberg,Filipstads kommun,200,45,444,T5784
Pershagen,Södertälje kommun,2 190,106,2 066,T0272
Perstorp,Perstorps kommun,6 091,576,1 058,T3036
Persön,Luleå kommun,223,63,354,T8788
Pilgrimstad,Bräcke kommun,373,80,466,T7944
Piperskärr,Västerviks kommun,645,102,632,T2364
Piteå,Piteå kommun,23 181,2 298,1 009,T8792
Porjus,Jokkmokks kommun,265,46,576,T8796
Prästängen,Arvika kommun,485,28,1 732,T5786
Pukavik,Sölvesborgs kommun,345,117,295,T2724
Påarp,Helsingborgs kommun,5 752,397,1 449,T3644
Pålsboda,Hallsbergs kommun,1 643,157,1 047,T6088
Påläng,Kalix kommun,223,74,301,T8804
Påryd,Kalmar kommun,666,125,533,T2368
Påskallavik,Oskarshamns kommun,1 069,117,914,T2372
Rabbalshede,Tanums kommun,274,73,375,T4532
Ramdala,Karlskrona kommun,274,76,361,T2728
Ramnäs,Surahammars kommun,1 216,117,1 039,T6296
Ramsberg,Lindesbergs kommun,202,112,180,T6092
Ramsele,Sollefteå kommun,808,216,374,T7628
Ramstalund,Uppsala kommun,353,31,1 139,T0606
Ramvik,Härnösands kommun,415,71,585,T7632
Ransta,Sala kommun,862,110,784,T6300
Rappestad,Linköpings kommun,247,42,588,T1212
Reftele,Gislaveds kommun,1 311,186,705,T1624
Rejmyre,Finspångs kommun,884,126,702,T1216
Rengsjö,Bollnäs kommun,243,57,426,T7252
Repbäcken,Borlänge kommun,234,87,269,T6704
Resarö,Vaxholms kommun,3 212,349,920,T0276
Revingeby,Lunds kommun,532,66,806,T3648
Riala,Norrtälje kommun,361,130,278,T0278
Riddarhyttan,Skinnskattebergs kommun,296,75,395,T6304
Rimbo,Norrtälje kommun,5 223,348,1 501,T0280
Rimforsa,Kinda kommun,2 314,278,832,T1220
Ringarum,Valdemarsviks kommun,606,122,497,T1224
Rinkaby,Kristianstads kommun,749,126,594,T3040
Rinkabyholm,Kalmar kommun,1 663,132,1 260,T2376
Risby,Kungälvs kommun,244,78,313,T4536
Risögrund,Kalix kommun,609,85,717,T8812
Robertsfors,Robertsfors kommun,2 010,214,939,T8292
Robertsholm,Hofors kommun,389,51,763,T7254
Rockhammar,Lindesbergs kommun,270,74,365,T6096
Rockneby,Kalmar kommun,980,176,557,T2380
Roknäs,Piteå kommun,1 276,320,399,T8816
Rolfstorp,Varbergs kommun,588,86,684,T4060
Roma,Region Gotland,1 198,231,519,T2532
Romme,Borlänge kommun,1 725,446,387,T6706
Ronneby,Ronneby kommun,12 797,820,1 561,T2732
Ronnebyhamn,Ronneby kommun,732,195,375,T2734
Rosenfors,Hultsfreds kommun,288,72,400,T2384
Rosenlund,Tranemo kommun,294,38,774,T4988
Rosersberg,Sigtuna kommun,1 829,312,586,T0284
Rossö,Strömstads kommun,205,153,134,T5544
Rossön,Strömsunds kommun,324,186,174,T7948
Rosvik,Piteå kommun,1 868,307,609,T8824
Rot,Älvdalens kommun,723,270,268,T6708
Roteberg,Ovanåkers kommun,388,86,451,T7256
Rottne,Växjö kommun,2 434,198,1 229,T1956
Rottneros,Sunne kommun,402,120,335,T5788
Rud,Hammarö kommun,495,158,313,T5790
Ruda,Högsby kommun,612,128,478,T2388
Rundvik,Nordmalings kommun,800,171,468,T8296
Runemo,Ovanåkers kommun,257,79,325,T7258
Runtuna,Nyköpings kommun,195,35,557,T0828
Rusksele,Lycksele kommun,208,69,301,T8300
Rutvik,Luleå kommun,871,96,907,T8828
Rya,Härryda kommun,375,93,403,T4542
Ryd,Jönköpings kommun,213,59,361,T1628
Ryd,Tingsryds kommun,1 450,227,639,T1960
Rydaholm,Värnamo kommun,1 629,168,970,T1632
Rydal,Marks kommun,434,69,629,T4992
Rydbo,Österåkers kommun,580,42,1 381,T0292
Rydboholm,Borås kommun,985,116,849,T4996
Rydebäck,Helsingborgs kommun,6 480,310,2 090,T3652
Rydsgård,Skurups kommun,1 400,155,903,T3656
Rydsnäs,Ydre kommun,282,86,328,T1228
Rydöbruk,Hylte kommun,408,83,492,T4068
Rynge och Vallösa,Ystads kommun,226,117,193,T3138
Ryssby,Ljungby kommun,776,158,491,T1964
Råby,Håbo kommun,971,136,714,T0618
Råda,Hagfors kommun,438,105,417,T5792
Råneå,Luleå kommun,2 034,242,841,T8832
Rångedala,Borås kommun,421,111,379,T5000
Rånnaväg,Ulricehamns kommun,336,51,659,T5004
Rånäs,Norrtälje kommun,423,48,881,T0294
Rälla,Borgholms kommun,409,101,405,T2266
Ränneslöv,Laholms kommun,453,87,521,T4072
Rätan,Bergs kommun,193,85,227,T7924
Rättarboda,Upplands-Bro kommun,353,47,751,T0286
Rättvik,Rättviks kommun,5 322,1 234,431,T6716
Rävemåla,Tingsryds kommun,302,80,378,T1968
Rävlanda,Härryda kommun,1 568,164,956,T4544
Röbäck,Umeå kommun,2 545,200,1 273,T8304
Röda holme,Kungsbacka kommun,673,201,335,T3898
Rödeby,Karlskrona kommun,3 516,375,938,T2736
Rödån,Habo kommun,276,121,228,T1534
Röke,Hässleholms kommun,184,79,233,T3044
Rönneshytta,Askersunds kommun,196,50,392,T6104
Rönnäng,Tjörns kommun,1 628,252,646,T4548
Rörtången och Ödsmåls mosse,Kungälvs kommun,446,129,346,T4652
Rörvik,Sävsjö kommun,590,119,496,T1636
Rörö,Öckerö kommun,250,58,431,T4552
Röstånga,Svalövs kommun,927,137,677,T3660
Sala,Sala kommun,13 608,1 038,1 311,T6312
Salbohed,Sala kommun,230,72,319,T6316
Saleby,Lidköpings kommun,224,50,448,T5404
Saltsjöbaden,Nacka kommun,9 463,523,1 809,T0296
Sandared,Borås kommun,3 394,285,1 191,T5010
Sandarne,Söderhamns kommun,1 641,301,545,T7268
Sandhem,Mullsjö kommun,700,109,642,T5408
Sandhult,Borås kommun,571,63,906,T5012
Sandskogen,Kävlinge kommun,730,73,1 000,T3662
Sandslån,Kramfors kommun,332,150,221,T7636
Sandviken,Södertälje kommun,433,151,287,T0310
Sandviken,Sandvikens kommun,25 344,1 714,1 479,T7272
Sangis,Kalix kommun,504,185,272,T8836
Sankt Olof,Simrishamns kommun,692,115,602,T3048
Saxdalen,Ludvika kommun,638,217,294,T6720
Saxnäs,Mörbylånga kommun,508,133,382,T2396
Saxtorpsskogen,Landskrona kommun,1 245,202,616,T3718
Segersta,Bollnäs kommun,248,98,253,T7276
Segersäng,Nynäshamns kommun,765,83,922,T0330
Segmon,Grums kommun,432,87,497,T5796
Selja,Mora kommun,551,144,383,T6724
Selånger,Sundsvalls kommun,339,114,297,T7642
Sennan,Halmstads kommun,370,69,536,T4076
Seskarö,Haparanda kommun,387,108,358,T8840
Sexdrega,Svenljunga kommun,813,123,661,T5016
Sibbhult,Östra Göinge kommun,1 408,158,891,T3052
Sibble,Botkyrka kommun,343,95,361,T0298
Sibo,Bollnäs kommun,248,129,192,T7280
Sidensjö,Örnsköldsviks kommun,377,128,295,T7644
Sifferbo,Gagnefs kommun,414,79,524,T6728
Signehög och Norrmannebo,Kungälvs kommun,255,96,266,T4558
Sigtuna,Sigtuna kommun,9 377,547,1 714,T0300
Siljansnäs,Leksands kommun,1 291,467,276,T6732
Silverdalen,Hultsfreds kommun,666,125,533,T2400
Simlångsdalen,Halmstads kommun,673,108,623,T4080
Simonstorp,Norrköpings kommun,261,45,580,T1232
Simrishamn,Simrishamns kommun,6 844,481,1 423,T3060
Sjuhalla,Karlskrona kommun,228,66,346,T2742
Sjulsmark,Piteå kommun,333,73,456,T8846
Sjunnen,Vetlanda kommun,412,52,792,T1644
Sjunnerup,Höörs kommun,333,147,227,T3064
Sjuntorp,Trollhättans kommun,2 158,280,771,T5020
Själsö,Region Gotland,416,222,187,T2538
Sjöbo,Sjöbo kommun,8 418,765,1 100,T3664
Sjögestad,Linköpings kommun,279,32,872,T1236
Sjömarken och Viared,Borås kommun,3 827,692,553,T5008
Sjörröd,Hässleholms kommun,1 450,183,792,T3062
Sjösa,Nyköpings kommun,478,63,759,T0832
Sjöskogen och Strand,Uddevalla kommun,460,164,281,T4626
Sjötorp,Mariestads kommun,411,92,447,T5412
Sjövik,Lerums kommun,1 065,97,1 098,T5032
Skanör med Falsterbo,Vellinge kommun,7 452,586,1 272,T3672
Skara,Skara kommun,11 558,834,1 386,T5420
Skarpö,Vaxholms kommun,257,104,247,T0446
Skattkärr,Karlstads kommun,1 961,169,1 160,T5800
Skattungbyn,Orsa kommun,350,226,155,T6736
Skavkulla och Skillingenäs,Karlskrona kommun,881,176,501,T2738
Skebobruk,Norrtälje kommun,231,92,251,T0308
Skebokvarn,Flens kommun,204,66,309,T0836
Skeda udde,Linköpings kommun,401,37,1 084,T1238
Skedala,Halmstads kommun,365,50,730,T4084
Skede,Vetlanda kommun,288,87,331,T1648
Skedvi kyrkby,Säters kommun,400,79,506,T6764
Skee,Strömstads kommun,782,88,889,T4556
Skegrie,Trelleborgs kommun,1 325,101,1 312,T3676
Skelleftehamn,Skellefteå kommun,3 213,298,1 078,T8308
Skellefteå,Skellefteå kommun,36 395,2 460,1 480,T8312
Skepplanda,Ale kommun,1 875,153,1 226,T5036
Skeppshult,Gislaveds kommun,378,93,407,T1652
Skeppsvik,Nyköpings kommun,214,143,150,T0838
Skiftinge,Eskilstuna kommun,5 146,199,2 586,T0842
Skillingaryd,Vaggeryds kommun,4 269,394,1 084,T1656
Skillinge,Simrishamns kommun,923,231,400,T3072
Skinnskatteberg,Skinnskattebergs kommun,2 258,270,836,T6320
Skivarp,Skurups kommun,1 357,153,887,T3680
Skoby,Östhammars kommun,238,60,397,T0614
Skoghall,Hammarö kommun,14 407,1 199,1 202,T5804
Skogsby,Mörbylånga kommun,979,264,371,T2404
Skottorp,Laholms kommun,568,90,631,T4092
Skruv,Lessebo kommun,524,120,437,T1976
Skultorp,Skövde kommun,3 872,306,1 265,T5424
Skultuna,Västerås kommun,3 391,196,1 730,T6324
Skumparp,Malmö kommun,245,23,1 065,T3682
Skurup,Skurups kommun,8 584,587,1 462,T3684
Skutskär,Älvkarleby kommun,7 259,971,748,T0616
Skyttorp,Uppsala kommun,641,88,728,T0620
Skålö,Vansbro kommun,297,230,129,T6738
Skånes-Fagerhult,Örkelljunga kommun,963,226,426,T3080
Skåne-Tranås,Tomelilla kommun,235,67,351,T3074
Skåpafors,Bengtsfors kommun,317,101,314,T5040
Skåre,Karlstads kommun,5 443,419,1 299,T5808
Skällinge,Varbergs kommun,653,75,871,T4100
Skällåkra och Lingome,Varbergs kommun,242,190,127,T4234
Skänninge,Mjölby kommun,3 386,306,1 107,T1244
Skärblacka,Norrköpings kommun,4 018,418,961,T1248
Skärhamn,Tjörns kommun,3 678,513,717,T4560
Skärplinge,Tierps kommun,732,110,666,T0624
Skärstad,Jönköpings kommun,514,48,1 071,T1660
Sköldinge,Katrineholms kommun,584,93,628,T0844
Sköllersta,Hallsbergs kommun,1 105,171,646,T6112
Skölsta,Uppsala kommun,550,55,1 000,T0622
Skövde,Skövde kommun,39 543,2 312,1 710,T5428
Slaka,Linköpings kommun,557,114,489,T1252
Slite,Region Gotland,983,149,660,T2536
Slite norra,Region Gotland,519,72,721,T2564
Slottsbron,Grums kommun,1 074,142,756,T5810
Slottsskogen,Håbo kommun,1 624,166,978,T0626
Slädaviken och Åssjön,Sundsvalls kommun,231,110,210,T7758
Slätthult,Lerums kommun,240,64,375,T4582
Slöinge,Falkenbergs kommun,1 095,131,836,T4104
Smedby,Kalmar kommun,3 707,242,1 532,T2408
Smedjebacken,Smedjebackens kommun,5 235,826,634,T6744
Smedseröd,Uddevalla kommun,326,31,1 052,T4586
Smedstorp,Tomelilla kommun,385,87,443,T3084
Smygehamn,Trelleborgs kommun,1 287,131,982,T3688
Smålandsstenar,Gislaveds kommun,4 560,527,865,T1664
Smögen,Sotenäs kommun,1 282,115,1 115,T4564
Snogeröd,Höörs kommun,226,35,646,T3690
Snöveltorp,Söderköpings kommun,478,80,598,T1170
Solberga,Österåkers kommun,528,143,369,T0302
Solberga,Nässjö kommun,380,76,500,T1668
Solberga och Ålem,Mönsterås kommun,184,63,292,T2490
Sollebrunn,Alingsås kommun,1 523,192,793,T5044
Sollefteå,Sollefteå kommun,8 527,985,866,T7660
Sollerön,Mora kommun,894,272,329,T6748
Solvarbo,Säters kommun,315,71,444,T6752
Sommen,Tranås kommun,766,112,684,T1672
Sonstorp,Finspångs kommun,459,74,620,T1256
Sorsele,Sorsele kommun,1 113,191,583,T8316
Sorunda,Nynäshamns kommun,1 349,139,971,T0320
Sparreholm,Flens kommun,736,114,646,T0848
Spekeröd,Stenungsunds kommun,221,96,230,T4618
Spillersboda,Norrtälje kommun,493,407,121,T0322
Spjutsbygd,Karlskrona kommun,390,63,619,T2744
Spjutstorp,Tomelilla kommun,202,40,505,T3088
Spjälkö och Saxemara,Ronneby kommun,471,210,224,T2746
Spångsholm,Mjölby kommun,237,23,1 030,T1260
Spånlöt,Österåkers kommun,473,23,2 057,T0448
Staffanstorp,Staffanstorps kommun,16 215,864,1 877,T3696
Stallarholmen,Strängnäs kommun,1 845,208,887,T0852
Stare,Strömstads kommun,186,40,465,T4620
Stava,Österåkers kommun,377,112,337,T0326
Stavreviken,Timrå kommun,205,21,976,T7668
Stavsjö,Nyköpings kommun,215,30,717,T0854
Stavsnäs,Värmdö kommun,1 871,970,193,T0324
Stehag,Eslövs kommun,1 280,102,1 255,T3700
Stenared,Göteborgs kommun,447,99,452,T4574
Stenbron,Uppsala kommun,819,22,3 723,T0694
Stenhamra,Ekerö kommun,3 636,344,1 057,T0328
Steninge,Halmstads kommun,1 186,339,350,T4106
Steningehöjden,Sigtuna kommun,1 332,35,3 806,T0380
Stenis,Mora kommun,355,141,252,T6844
Stennäset,Falu kommun,699,73,958,T6766
Stensele,Storumans kommun,462,103,449,T8320
Stensjön,Nässjö kommun,264,69,383,T1676
Stenstorp,Falköpings kommun,1 794,172,1 043,T5436
Stensättra tomtområde,Nykvarns kommun,416,116,359,T0382
Stenungsund,Stenungsunds kommun,13 909,1 226,1 135,T4568
Stenungsön,Stenungsunds kommun,252,69,365,T4578
Sticklinge udde,Lidingö kommun,3 064,130,2 357,T0332
Stigen,Färgelanda kommun,485,78,622,T5048
Stigtomta,Nyköpings kommun,1 914,176,1 088,T0856
Stilleryd,Karlshamns kommun,336,179,188,T2750
Stjärnhov,Gnesta kommun,569,111,513,T0860
Stoby,Hässleholms kommun,747,88,849,T3096
Stocka,Nordanstigs kommun,351,88,399,T7292
Stockamöllan,Eslövs kommun,300,47,638,T3704
Stockaryd,Sävsjö kommun,1 047,159,659,T1680
Stockholm,Stockholms kommun,1 611 776,41 621,3 873,T0336
Stockvik,Sundsvalls kommun,2 493,141,1 768,T7670
Stora Bugärde,Härryda kommun,431,117,368,T4570
Stora Frö och Haga Park,Mörbylånga kommun,231,122,189,T2492
Stora Herrestad,Ystads kommun,315,56,563,T3708
Stora Höga,Stenungsunds kommun,2 963,284,1 043,T4576
Stora Levene,Vara kommun,790,140,564,T5440
Stora Mellby,Alingsås kommun,364,73,499,T5052
Stora Mellösa,Örebro kommun,789,103,766,T6116
Stora Vika,Nynäshamns kommun,748,51,1 467,T0340
Storebro,Vimmerby kommun,1 025,146,702,T2412
Storfors,Storfors kommun,2 066,291,710,T5812
Storholmen,Lidingö kommun,231,36,642,T0466
Storuman,Storumans kommun,2 135,259,824,T8324
Storvik,Sandvikens kommun,2 255,267,845,T7296
Storvreta,Uppsala kommun,6 360,313,2 032,T0628
Storå,Lindesbergs kommun,1 915,462,415,T6120
"Strandskogen, Restenäs och Ulvesund",Uddevalla kommun,464,226,205,T4534
Striberg,Nora kommun,299,66,453,T6124
Strålsnäs,Boxholms kommun,407,73,558,T1264
Strångsjö,Katrineholms kommun,354,53,668,T0864
Stråssa,Lindesbergs kommun,262,54,485,T6128
Strängnäs,Strängnäs kommun,14 708,716,2 054,T0868
Strömma,Värmdö kommun,2 622,707,371,T0342
Strömsbruk,Nordanstigs kommun,362,91,398,T7304
Strömsholm,Hallstahammars kommun,701,126,556,T6328
Strömsnäsbruk,Markaryds kommun,2 354,332,709,T1980
Strömstad,Strömstads kommun,7 466,456,1 637,T4584
Strömsund,Strömsunds kommun,3 707,396,936,T7960
Strövelstorp,Ängelholms kommun,1 380,190,726,T3100
Stugun,Ragunda kommun,585,107,547,T7964
Sturefors,Linköpings kommun,3 081,170,1 812,T1272
Sturkö,Karlskrona kommun,1 366,678,202,T2740
Styrsö,Göteborgs kommun,1 340,179,749,T4588
Stånga,Region Gotland,332,113,294,T2540
Stångby,Lunds kommun,2 016,105,1 920,T3712
Stångehamn,Oskarshamns kommun,215,85,253,T2494
Stångenäs och Rixö,Lysekils kommun,239,117,204,T4318
Ställdalen,Ljusnarsbergs kommun,460,179,257,T6136
Stöcke,Umeå kommun,516,71,727,T8332
Stöcksjö,Umeå kommun,508,115,442,T8334
Stöde,Sundsvalls kommun,1 313,398,330,T7676
Stöllet,Torsby kommun,221,76,291,T5816
Stöpen,Skövde kommun,1 452,114,1 274,T5444
Sulvik,Arvika kommun,376,126,298,T5820
Sund,Trosa kommun,390,140,279,T0898
Sundborn,Falu kommun,941,196,480,T6768
Sundby,Ekerö kommun,466,75,621,T0266
Sundbyholm,Eskilstuna kommun,1 137,336,338,T0870
Sundhultsbrunn,Aneby kommun,312,46,678,T1684
Sundom,Luleå kommun,220,95,232,T8856
Sundsstrand,Uddevalla kommun,334,19,1 758,T5546
Sundsvall,Sundsvalls kommun,58 807,4 095,1 436,T7688
Sunnansjö,Ludvika kommun,602,174,346,T6772
Sunne,Sunne kommun,5 106,523,976,T5824
Sunnemo,Hagfors kommun,289,107,270,T5828
Surahammar,Surahammars kommun,6 404,489,1 310,T6332
Surte,Ale kommun,6 490,373,1 740,T5056
Svalsta,Nyköpings kommun,1 110,81,1 370,T0876
Svalöv,Svalövs kommun,4 221,268,1 575,T3716
Svanberga,Norrtälje kommun,563,93,605,T0348
Svaneholm,Säffle kommun,472,137,345,T5832
Svanesund,Orusts kommun,2 027,364,557,T4592
Svappavaara,Kiruna kommun,409,101,405,T8864
Svartbyn,Överkalix kommun,263,130,202,T8868
Svarte,Ystads kommun,929,88,1 056,T3720
Svartehallen,Stenungsunds kommun,240,59,407,T4595
Svartudden,Piteå kommun,468,31,1 510,T8870
Svartvik,Sundsvalls kommun,972,112,868,T7696
Svartå,Degerfors kommun,468,89,526,T6140
Svedala,Svedala kommun,12 685,760,1 669,T3724
