Tätort,Kommun,Folkmängd(31 dec 2020),Landareal(hektar),Täthet(inv./km²),Tätorts-kod
Björbo,Gagnefs kommun,676,193,350,T6428
Björboholm,Lerums kommun,1 204,255,472,T4732
Björke,Gävle kommun,657,140,469,T7028
Björketorp,Marks kommun,556,91,611,T4736
Björklinge,Uppsala kommun,3 400,305,1 115,T0512
Björktorp och Sanda,Strängnäs kommun,474,170,279,T0722
Björkvik,Katrineholms kommun,436,119,366,T0720
Björköby,Vetlanda kommun,326,84,388,T1420
Björlanda,Göteborgs kommun,1 150,158,728,T4302
Björna,Örnsköldsviks kommun,373,73,511,T7428
Björnarås,Mölndals kommun,336,41,820,T4369
Björneborg,Kristinehamns kommun,1 101,144,765,T5612
Björnlunda,Gnesta kommun,830,116,716,T0724
Björnänge,Åre kommun,767,401,191,T7810
Björnö,Växjö kommun,195,15,1 300,T1818
Björsäter,Åtvidabergs kommun,391,73,536,T1024
Blackstalund,Uppsala kommun,268,78,344,T0650
Bleket,Tjörns kommun,476,117,407,T4308
Blentarp,Sjöbo kommun,1 523,254,600,T3364
Blidsberg,Ulricehamns kommun,561,113,497,T4740
Blidö,Norrtälje kommun,280,564,50,T0126
Blixbo,Falu kommun,280,105,267,T6430
Blombacka,Karlstads kommun,195,96,203,T5616
Blomstermåla,Mönsterås kommun,2 322,378,614,T2120
Blåsmark,Piteå kommun,274,57,481,T8540
Bläshammar och Trönningenäs,Varbergs kommun,1 052,187,563,T4130
Blötberget,Ludvika kommun,240,58,414,T6432
Bockara,Oskarshamns kommun,356,101,353,T2124
Boda,Rättviks kommun,521,282,185,T6436
Bodafors,Nässjö kommun,2 045,242,845,T1424
Boden,Bodens kommun,16 817,1 417,1 187,T8544
Bohus-Björkö,Öckerö kommun,1 473,103,1 430,T4304
Boliden,Skellefteå kommun,1 602,146,1 097,T8132
Bollebygd,Bollebygds kommun,4 559,341,1 337,T4744
Bollnäs,Bollnäs kommun,13 942,1 287,1 083,T7036
Bollstabruk,Kramfors kommun,1 812,523,347,T7432
Bondstorp,Vaggeryds kommun,230,56,411,T1426
Bonäs,Mora kommun,382,107,357,T6440
Bor,Värnamo kommun,1 293,165,784,T1428
Borensberg,Motala kommun,3 093,296,1 045,T1028
Borggård,Finspångs kommun,259,47,551,T1032
Borgholm,Borgholms kommun,4 374,913,479,T2132
Borgstena,Borås kommun,423,107,395,T4748
Borlänge,Borlänge kommun,43 202,3 165,1 365,T6444
Borrby,Simrishamns kommun,949,103,921,T2820
Borås,Borås kommun,73 980,2 893,2 557,T4752
Bosnäs,Borås kommun,468,100,468,T4310
Botsmark,Umeå kommun,202,39,518,T8136
Bottnaryd,Jönköpings kommun,810,87,931,T1432
Bovallstrand,Sotenäs kommun,455,136,335,T4312
Boxholm,Boxholms kommun,3 318,441,752,T1040
Brantevik,Simrishamns kommun,353,87,406,T2824
Brastad,Lysekils kommun,1 964,347,566,T4316
Braås,Växjö kommun,1 779,153,1 163,T1820
Bredared,Borås kommun,330,60,550,T4756
Bredaryd,Värnamo kommun,1 537,223,689,T1436
Bredbyn,Örnsköldsviks kommun,1 164,194,600,T7444
Bredsand,Enköpings kommun,1 653,229,722,T0612
Bredviken,Kalix kommun,373,57,654,T8556
Bro,Upplands-Bro kommun,9 482,445,2 131,T0112
Broaryd,Gislaveds kommun,285,71,401,T1440
Broby,Östra Göinge kommun,3 513,390,901,T2828
Brokind,Linköpings kommun,515,77,669,T1044
Bromölla,Bromölla kommun,8 092,632,1 280,T2832
Brotorp,Säffle kommun,285,22,1 296,T5868
Brottby,Vallentuna kommun,248,39,636,T0116
Bruksvallarna,Härjedalens kommun,209,161,130,T8046
Brunn,Värmdö kommun,1 323,215,615,T0120
Brunna,Upplands-Bro kommun,4 033,345,1 169,T0124
Brunnsberg,Älvdalens kommun,210,121,174,T6448
Bruzaholm,Eksjö kommun,238,75,317,T1444
Brålanda,Vänersborgs kommun,1 532,183,837,T4760
Bräcke,Bräcke kommun,1 467,203,723,T7816
Bräkne-Hoby,Ronneby kommun,1 710,241,710,T2604
Brändön,Luleå kommun,338,98,345,T8558
Brännland,Umeå kommun,358,63,568,T8140
Brännäset och Boviken,Umeå kommun,291,270,108,T8138
Brännö,Göteborgs kommun,929,193,481,T4322
Brösarp,Tomelilla kommun,742,97,765,T2836
Bua,Varbergs kommun,2 124,239,889,T3912
Buerås,Kungsbacka kommun,768,91,844,T3914
Bullmark,Umeå kommun,314,44,714,T8142
Bunkeflostrand,Malmö kommun,14 744,495,2 979,T3372
Bureå,Skellefteå kommun,2 546,382,667,T8144
Burgsvik,Region Gotland,344,127,271,T2500
Burlövs egnahem,Burlövs kommun,767,29,2 645,T3374
Burseryd,Gislaveds kommun,957,194,493,T1452
Burträsk,Skellefteå kommun,1 636,192,852,T8148
Buskhyttan,Nyköpings kommun,208,58,359,T0728
Butbro,Finspångs kommun,283,40,708,T1206
Bygdeå,Robertsfors kommun,487,79,617,T8152
Bygdsiljum,Skellefteå kommun,312,93,336,T8156
Byske,Skellefteå kommun,1 741,328,531,T8160
Bålsta,Håbo kommun,15 294,1 148,1 332,T0520
Båstad,Båstads kommun,5 699,870,655,T2840
Båtbyggartorp,Upplands Väsby kommun,217,47,462,T0450
Båtskärsnäs,Kalix kommun,208,66,315,T8560
Bäckaskog,Kristianstads kommun,317,43,737,T2844
Bäckebo,Nybro kommun,222,83,268,T2144
Bäckefors,Bengtsfors kommun,675,140,482,T4768
Bäckhammar,Kristinehamns kommun,312,83,376,T5624
Bälgviken,Eskilstuna kommun,217,42,517,T0730
Bälinge,Uppsala kommun,2 590,189,1 370,T0524
Bälinge,Luleå kommun,303,62,489,T8564
Bärby,Uppsala kommun,401,56,716,T0526
Bäsna,Gagnefs kommun,668,150,445,T6456
"Bökenäs, Korsanäs och Kuggeboda",Ronneby kommun,466,249,187,T2682
Böle,Piteå kommun,346,65,532,T8568
Bönan,Gävle kommun,1 030,302,341,T7038
Charlottenberg,Eda kommun,2 523,285,885,T5628
Dala-Floda,Gagnefs kommun,657,228,288,T6460
Dalarö,Haninge kommun,1 912,604,317,T0132
Dalby,Lunds kommun,6 834,414,1 651,T3380
Dals Långed,Bengtsfors kommun,1 349,211,639,T4772
Dals Rostock,Melleruds kommun,794,143,555,T4776
Dalsjöfors,Borås kommun,3 795,366,1 037,T4780
Dalstorp,Tranemo kommun,728,144,506,T4784
Dalum,Ulricehamns kommun,692,78,887,T4788
Danholn,Falu kommun,461,80,576,T6472
Danmark,Uppsala kommun,441,55,802,T0530
Dannemora,Östhammars kommun,238,68,350,T0528
Dannike,Borås kommun,444,77,577,T4792
Degeberga,Kristianstads kommun,1 325,215,616,T2848
Degerfors,Degerfors kommun,7 281,735,991,T5916
Degerhamn,Mörbylånga kommun,313,107,293,T2152
Deje,Forshaga kommun,2 705,318,851,T5632
Delary,Älmhults kommun,212,46,461,T1828
Delsbo,Hudiksvalls kommun,2 236,317,705,T7040
